tweet,predicted_labels
fools dont know difference profligacy prudence know well rahul gand promised handouts already know gets elected money modi spent raabert take statement,Negative
modi afraid time bjp going repeat success reason seating nothing respective loksabha neither questioned report card apealing vote next year face value,Negative
fugitive economic offenders act agencies absconding offenders benami transactions amendment act confiscation benami properties antiblack money measures taken modi govt brought undisclosed income lakh crore tax,Possitive
many know didnt vote modi vote wondering theres theres many vice versa,Negative
modi address elections speaks india proud moment successful antisatellite missile mission,Possitive
dont blame modi hes self confessed chowkidar ministerial team also admitted theyre chowkidars,Negative
downy matter critized modimonths democracy,Negative
rahul gandhis mentality modi htana bbbbbbut possible,Negative
modi todays achievement violate international treaties done purely benefit people live,Possitive
modis counter build build keep building dams stop water entering pakistan surgical strike pakistans lush green forests employ lakhs youth gram sabha save cow sell pakoda,Negative
politics merciless bjp netas realise modi cannot win votes opening bajpayeeji advani joshi jaswant singh yashwant sinha,Possitive
tell vote simple problem looting home buyers get resolved home buyers ncr decided either opposition nota,Negative
election commission cannot even wanted modi country afterall difference modi indira modi wont allow,Negative
pray god win royally keep role model nobody got chance country got make thr best beaware say firm yet humble like modi,Possitive
man change india wasnt poor modi come,Negative
sriman modi sir name mrutunjay senapati odisha like bjp working chennai security guard big dream saw life kindly request plz one time meet please help sir,Possitive
really kept cold storage party years aint funny modi cant take credit leap superleague everyone congress chornehru chichorarahulall menials including driverssweeperswasherman masseurs,Possitive
elections time man came address addressed scientists take credit gain vote bank nation get modi,Negative
election code apply naredra modi drdo relaunching old successful proojectwhy economist take hunger issue bjp ruled state shane inhumane principles rss human life valuecode applies political parties wellwishers,Possitive
think jobs problem india countries including developed ones face employment problem time analyse modi govt taking steps create jobs answer yes bias report sends wrong signal world,Negative
arun speak things know ardent modi bhakt government like previous governments done nothing scarp draconian law lakhs families suffering anger justified,Negative
trust since travelling many villages tell villagers happy modi,Possitive
modi right surely picked time due modi,Possitive
know hate congress resort appeasement love modi working hard country appeasement mode dont hate muslims hate terrorists want peaceful coexistence without political appeasement,Negative
new asat launch modi share indians today pappu nehrwhonehrwho,Possitive
modi didnt least seat considered bangalore south today however congress announced rahul gandhi contest wayanad kerala principal opposition left addition amethi,Negative
poor person collecting rubbish thrown front industry states gujarat person caught bound gate beaten death nothing action taken culprit neither modi gujarat govt took action medea shows vidio,Possitive
honble prime minister sri narendra modi address two poll rallies moran gohpur today heartily welcome modi assam jai bjp jai narendra modi,Possitive
modi first stubble green revolution started showing results india country become selfsufficient food grains nothing black bjp black money promise,Negative
got negative please stop showing bias modi never qualms congress,Negative
reward fellow kannadigas elected mps bjp inbetween profitable karnataka origined vijaya bank merged modis gujju bank bob,Negative
mediated referee chokidhar,Negative
years development india modi government zero unmanned railway crossing zero terrorist attack outside kashmir zero unelectrified village zero village open defacation zero pilferage subsidy zero scam,Possitive
reaching modi barely connects trying half hour also customer care team idea simply says issue going try requesting guys look resolve,Negative
modi correct bomb blasts going place feckless upa hell even bomb blasts modis poiltical rally bihar incidents contained kashmir part,Negative
bjp leaders hail narendra modi successful demonstration anti missile technology via,Possitive
great knock modi govt congratulating indians proud indianjai hind,Possitive
think twice vote vote traitors rjd mla one specimen treason india safe modi vote safety advancement india vote modi,Possitive
said polls across country would fought modi report card singh asked bjp five years fulfilled promises elections,Negative
indias maximum amount loan frauds including pnb nirav modi mallya etc happened raghuram rajan governor rbi,Negative
china blocks india move nehru responsible incredible achievements drdo modi trying claim kaamal hai,Possitive
hypocritical statement modi fought election seats everyone crucified say rahul showing diverse india thats problem media guys pillar democracygod save home,Negative
exhausted cant even get pjs eyes heavy must parent yoooo guys rough,Negative
wat selfish old couple pray seva thy seen govts since independence may never seen modis govt thy pleased want next terms well caste creed religion lets vote india modi,Possitive
lakhs everyones account prove modi false btw live hawa,Negative
privilege meeting modi came london became gujarat cmhe looking nri gujaratis invest gujarat complained harassment ahmedabad airport suffered nris arrival,Negative
good point modi says whatever speech writers give brains,Possitive
world phd holders apply peon jobs mbas engineers apply sweeper jobs lakh pgs engineers apply helper jobs yrspm destroyed future indias educated youth,Negative
lost bargarh kalahandi even election may wrong idea ground reality bjp modi coming kalahandi jeypore th march st april,Negative
govt failed create jobs modi supported jet k jobs stake moreover pilots air hostess wouldnt look good selling bhajiyas,Negative
vote modi establishing international yoga day,Negative
media attacked modis goons asking peoples reaction recording modis speech newsclick team roughed speech meerut,Negative
modis lying contagious expected pathology militant supremacist rss,Negative
kashmiris students outside saved sikhs modi omar,Negative
god knows better think win election agenda attacking pakistan stronger indian people agenda making india better place live,Possitive
nda upa upa nda markets perform even mms trumps modi hands,Negative
read amd respond asi said dmt expect act like bhakt said nyay ismt implemented per year credit already process modi dint see oppose,Negative
modi conviction family return seat hence forth based first people support second illiterate plus dynast never preferred awakened voters awakened voters value vote used quarter drink,Possitive
daily assaultpart identity threatened demonized vilified modi tapping ugly part societyfreeing uglinesschallenge continue inclusion make sure people identify marginalized identities via,Negative
imagine much karnatakas economy would flourished modis leadership,Negative
congress pura desh kha chuki thi modi bajese thoda sans rage please vote bjp,Negative
modi india modi strengthening antiindia forces kind campaigning,Possitive
modi addressing rudrapur uttarakhand watch modis address vote wisely,Possitive
contrary gives two hoots electoral calc comes nat interest far easier sit tight nothing lot less electoral risk style opposition pathological hate modi bcuz everything indians know,Negative
manmohan always silent man unlike motormouth modi goes quite asked relevant questions,Possitive
five years modi,Negative
economy trouble youth want jobs devote time economics petty politics modi please focus job hand,Negative
yes modi sent pakistan election fooled world time world come know jumlebazi,Negative
stop fear bullshit even tucha type stand comedians make fun modi shah stop rhetoric,Possitive
sir dont know confirm narendra modiwho confirm,Negative
biopic modi elections hope book,Negative
whoever talks modi expert visionary mahatma come heavens potential nobel laureate blah blah,Negative
vote modi free india,Possitive
hahahahahahaha indirectly use jan dhan yojna prime minister narendra modi really stupid guy one mufatiya yojna declared chor party congress,Negative
expected praises everyone modi hypocrite,Negative
modi promised deposit lakhs every indian citizens accounti sure per month citizens poorest highly possible comparatively,Possitive
penal demand notices sent modi government,Negative
perigee apogee kind bengali words mamata didi indirectly saying something bengalis hold modi responsible firmly supports dravidanadu,Possitive
mrmadavan voting democracy much modi traps people like dont fooled,Negative
years modi misule took away lakhs jobs incompetence affected new job creation thereby thrashing dreams indian youth,Possitive
jaitley knows modi brooks opposition hunt neutralise sohrabuddin jaffery patel chiman keshubhai vaghela togdia lka sanjaymm joshi sinha using foul method choicest dislodge modi difficult going mars hope prahlad hkashyap david goliath,Negative
still ask whats modi work,Negative
though agree modi move nehrugandhi stuff talk work done last years term baaki junta king voting day,Negative
jai nmo support modi modi win election think one make country great please dont miss chance give vote modi plzzzzzzand motivate others also give vote thanks,Possitive
abey mere bhai bol yahi raha hai modi sath nahi anti nationalist hell going country educated illiterates see,Negative
latest announcement congress party tested simple arithmetic less rd existing dbt modi government averages lakh annually claimed congress party bluff,Possitive
modi targets bjd congress odisha lok sabha poll campaign,Negative
congress weakening force sir try one else kejriwal narayan finding alternative replacing modi propakselfish idiot like wastes country,Negative
cry india survive without modi remember wife yashodaben fine without years,Possitive
news channels giving much coverage modiji bjp comparatively little time opposition parties free fair election,Possitive
abp anand bazaar patrika leftists communists fake newsfake stories den west bengal known communist anti modi fake news journo,Negative
pros modi resources intent settle jurisdiction may willing extradite india quite clear man significant wealth,Possitive
foolish narrative circulated modi bhakts,Negative
maan jao modi failed country ever seen,Negative
modi dock wearing white shirt taking notes,Negative
naive whos diplomacy nothing else hugging chuckling watch interviews ksa given media hes telling begging rest treatment told modi banned european countries hes terrorist,Negative
shameless modi,Negative
ayushman bharat yojana much better even bill gates congratulate modi stop disrupting indias future,Possitive
writer seems christian living england facing grav eproblem islamic fundamentalism along witn rest western countries narendra modi hope hindustan rest non muslim world,Negative
india nation world phd holders apply peon jobs mbas engineers apply sweeper jobs lakh pgs engineers apply helper jobs years destroyed future indias educated youth,Negative
modi wants votes playing nationalism nothing put infront people years,Possitive
still love modi,Possitive
modi made india rd largest economy ordered strikes pakistani terrorists provided housing electricity better roads poor gave ayushmann bharat work perfect trying nd term truly make century indian century,Possitive
modi kept silent last years people like popped nowhere,Negative
yes come back gandhi nagar waiting return welcome exprime minister chaiwala turned chowkidar turned surgen turned spacd scientist narendra damodardas modi,Possitive
jaggi bookish economist dont support modi led fake economics something called fair growth bpl needs empowered,Negative
love affection sri unparalleled everyone wants see please watch video unique expression melody full emotion house wives trust faith,Possitive
undertaken vivekananda kendra nardep lauded former president apj abdul kalam honorable india narendra modi green rameswaram project integrates several aspects sustainability holistic town development apply,Negative
weed secret modis streanh,Negative
anyone send link modi promised lakh cr jobs take challenge,Negative
whatever hapend lalit modi,Negative
bjp telangana bjp andhra pradesh bjp hyderabad,Negative
achievements modi fadnavis farmers committed suicide years bjp shiv sena rule maharashtra,Negative
actually leaders already saidif centre targetsus raidswe follow mamta idea republic india remain raids cbiit dept tax evaders objectedprotestedthis leads treason,Negative
gyaaniji missing strategic trees tactical forests yeah modi sucks,Negative
congress leaders agreed national income increasing since modi come power want pay poor increased funds,Negative
rahul gandhi attack modi unemployment issue india rahul gandhi congress president attack modi govt issue unemployment rafale deal modi govt finish crore jobs demonetization,Negative
takes guts take bjp takes common sense know modi made announcement whitewashing papering chowkidars change every regular citizen knows,Negative
simple term compare rahul gandhi far matured compare modi rating downgrade compare accept truth,Possitive
assembly bypoll election nehi jit saktesuccess modi,Negative
itna huge crowd shocked tusi great modi,Possitive
vote new bharat says narendra modi telangana enlists ndas achievements via namo app,Possitive
mamata banerjee remember one asked bengalis sell telebhaja well narendra modi became,Negative
modi chadi shrinks like waist beauty pageant front beijing,Negative
seven years highly idealistic narrative anna degradation indian polity seen wake india future stake dont let modi come,Negative
modi never said surely give lakhs,Possitive
modi cleaned ganga gandhi enjoying cruise,Possitive
shadows war hover modi govt could another misadventure general elections imran khan,Possitive
positive news day drdo capability clearance coveted club international space community cant stop discussing china worried liberals crying winning modi gets credit,Possitive
question proof modi right wing answered rss links modi rightwing due rss links everything jihad,Possitive
election narrative going bjps hand balakot attack announcements congres wiped narrative forced modi come screen change narrative one clear bjp election campaign nationalism work,Negative
new post air india rolls back boarding passes featuring modi backlash published newsbuzzr,Negative
emperor space courtesy modi also find time tackle unemployment inflation farmers suicide etc sir,Negative
yes started garibi hatao years back abhi bhi hata rahe similarly started years back modi delivered understand difference,Negative
pls keep trust modi government assure get help shortly,Negative
important announcement want hear today confirmation ole gunnar solskjaer permanent manger,Possitive
sends notice makers narendra modi movie,Negative
sir may ask believe modi said put lakhs accounts black money would uncover crs job,Negative
poem penned web series life via,Negative
acha kuch kharab hota hai blame modihis entire family even fault aur jab kuch acha tab credit naa gajb doglapanti hai bhai literally dumb journalist,Negative
even lower middle class made pay direct indirect taxation modis time people volunteered give subsidy lpg help poor women imagine,Negative
boasting modi given gas connections free women someone tell party nominated sayantan basu involved gas dealership scam elections,Possitive
rural distress demand nrega gets lowest wage hike modis parting kick rural poor gives airports developed public money adani travels world,Negative
hypocrisy wirethe officer completed term yrs thus transfer initiatedbut govt intervened stop itso investigation concludebut headline seems decieve,Negative
exactly modi make announcement satellite strike drdo scientists,Possitive
well modi entire political culture nurtured around violation hate division cant expect something decent ileterate chaiwala turned chowkidar shit real tough,Negative
sir pokhran leaked secret announcing possible strike satellite without informing major power arent bluffing fear modi government sure come back power jail family along duffer pappus,Possitive
modi wave missing,Negative
modi government decisive multipronged action corruption via namo app,Possitive
jyoti patel uganda praises modis efforts swacch bharat abhiyan govts astounding efforts build record roads highways past five years pradhan mantri sadak yojana key,Negative
pappu must clarify drdo chiefs statement getting ahead upa regime mission shakti instead taunting modi,Negative
modi already spent force bjp bad defeat foregone conclusion cover modi inflicting damage even money squandered nothing rahul people choice,Negative
dear sir manufacturing unit steel clw dlw approved vendor past years however modi govt facing lot issues hard sustain small msme unitcurrent govt demanding much upfront moneyeven order,Negative
modi jee setting new example daily coming end tenure still giving country like satellite universe another side akhilesh lost last election even took away water tap damaged house difference eye window,Possitive
modi look like monkey,Negative
bjp get massive support nort east india region always neglected congress since last years bjp focused region trying strengthen area great developmental projects north east support modi,Possitive
avoid temptation believe false promises election chance winning make kinds outlandish promises expose modi event,Possitive
rajasthani blind fellower modi running modi wave rajasthani public throw bjp government resent assembly election,Negative
firm moves bombay high court auction paintings may fetch crore,Negative
upa carried surgical strikes modi using surgical strikes political gains chandrasekhar rao telangana,Negative
defence minister mrsnirmalasitaraman said conspiracy imposed congress fact remarksbut bjp government done demonistration modi self motivations administrative valuations always political drama people know bjp vandalism,Negative
tee shirts anyone,Negative
defence deals atms past governments says,Negative
venu even saw threw stone precision took satellite amazing dexterity modi,Possitive
admirerturnedcritique meghnad desai says narendra modi lost plot via,Negative
campaign means nationalism nationalism,Negative
first place criminal nris come wash sins channels like black widows criminals whine mallya nirav modi etc hahahaa,Negative
aspirations like modi firing air need another pulwama soon,Negative
agreed except crops thats personal opinion modi implement brilliant ideas unke behalf excuses pls dont ridicule farmer distress selectively picking news becomes distraction help farmers,Possitive
snakes called judges colluded wth traitor pol bent creating chaos cntry wht evn half prsnrs fmls agitate type justice thy apply nap thm release prsnrs create ptms modi fool atk ppl enf burn cntry,Possitive
gold scheme scam help nirav modi mehul choksi,Negative
help quota scheme yet bjp lose rural india compared,Negative
modi supporters like,Negative
base rahul wayanad base modi varanasi base urmila mumbai politics seats based calculations complex astronomical scientific calculations creatures called politicians know decipher one excels wins,Negative
people avarna stop even dreaming expanding anti hindu gang include obc hindus obc hindus devout hindus including modi infact obc include jats gujjars yadavs baniyain bihar bishnoi etc etc hate ambedkar general caste,Negative
clsas wood remains doubleoverweight india sees modi return power,Negative
modi pulled drdo got presentation drdo happened late,Negative
message voted bjp vote time nobody change everything years year mess created congis need bjp long time dont even think nota think india vote chowkidar modi bjp,Negative
modi job next year wont,Negative
given modi,Negative
called news lok sabha elections sacked bsf jawan contest polls modi varanasi times india,Negative
election apf unlike canada dozens regional groupings play crucial role may hold balance power indians begin voting april writes,Negative
think right diverted caste politics rich poor politics one discussing caste discussing eliminate poor country thats bjp modi,Possitive
modis address nation via alfa meerut,Negative
except ndtv every top english channels like republic news cnn even india today showing modi,Negative
replace modi congress last line sir,Negative
yes read godhra vajpayee sir much adamant take resignation modi advani didnt let happen sympathy advani joshi everyone pay deeds,Negative
successful asat test earned india rightful place high table indian express via,Possitive
modi returns donation votes canvassing sir,Negative
attitude hold use brains,Negative
kal ganne ras bechne wala aaya thain afternoonhes uphe said people village going vote modiand also told mein hamare gaon mein yogi bahut kaam kia hai,Negative
better eat biryani like modi eating biryani flavored comes next day morning,Possitive
cent per cent correct doubthonest tax payers never blame modi,Negative
disagrees whatever modi logic behind statement,Negative
common one expect anything better pak anti modi parties called intellectuals seculars liberals india peoples thoughts sides match,Possitive
analysis indian air chief accepted defeat still weak capable responding defending modi jis corruption rafale makng strong case purchasng rafale free tea pilots india need tea pakistan cost mig,Possitive
agree totally bjp presidents lka responsible resurrection bjp seats modi shah combo dont grace humility,Possitive
congrats modi started started great achievement modi otherwise naam apna kaam kisi,Possitive
get timeline right father ramesh bhutada leads back elected endorses congress candidates backed sound accurate,Possitive
thank god demonetisation twitteratis breathe sigh relief modis announcement via,Negative
madam think even jaitelyji bluff retire politics elderly people bjp new face come even finance ministry happens also modi sarkar otherwise evaluate options,Possitive
jaya pradha joined bjp convass goten shorten amount also popular bjp big rich leader bythat famous cine field enjoy modi also,Possitive
contesting waynad official,Negative
modi interview politics held pak announced wing commander abhinandans release says,Negative
people laugh modi please see opposition,Possitive
modi speakout reality pulwama army death,Negative
modi india told many times mai rahu rahu bharat rahna chahiye think politician clearly knows india nobody faced trolling scolding modi jimodi india india modi,Possitive
modi lost opportunity obvious rhyme sharab kharab,Negative
believe facts congress harasses opposes modi saves joins bjp congress stopped progress nation also kejriwal begging congress merger btw party love atleast see working people least curropt,Possitive
proud shri narendra modi,Possitive
swamy single man army stays put bjp keeps fighting hindutwa antinationals spineless ppl bjp chaploosi modishah manner congis rgsg merged bjp rss requested cont,Negative
daily routine day modi trending night ipl match trending eat sleep repeat conquer,Negative
modi hails indias arrival space power shoots,Negative
imagine modi completely bank point time,Possitive
firtst time fake acharya telling truth usually mocks bjpmodi bhakts fatti,Negative
shatru,Negative
beat modi streets speak hindi speaking english anterooms would get votes friends useless,Negative
modi sayid repeat lie umpteentimes anywhere everywhere make look like truth gabel strategy,Negative
veracity ladies talk shows namo revered heart bhojpuri land kind respect yearn gets devote life nation modi one hence dwells every nationalist heart thanks sanjay sharing,Possitive
much motivation behind demonstration make modi current indian prime minister party appear strong upcoming indian elections,Possitive
thought modi faithful cadre leastlok sabha elections shocking says tejaswini ananth kumar losing race bangalore south seat tejasvi surya,Negative
violette code conduct narendra modi started channel channel airtel dth propagating fake information,Negative
nehrus dreams established atomic energy space center iits iims million things would still vendingwhat role modizero cannot make funny,Possitive
modi amit shah nomination bjp sets succession plan political editor singh writes,Negative
national achievement termed drama theatrics much hating modi st questioned armed forces drdo inko pradhan mantri banna hai,Negative
authoritarian tactic lacking creativity narendra modi tried course imran khan smarter,Negative
congress party led mrs indira gandhi changed constitution superseded judiciary superseded army institutions suit self goal via,Negative
jayho modi jayho bjp jayho andhrapradesh,Negative
ways blocked loot modi looting,Negative
thank god paid smartphone wonder telling many people ask modi yrs guys think guys,Negative
western press print,Negative
modi one subject fool around know pakistan cant even think touching awful even given full majority nothing happened kashmir still bastards roaming around even single promise delivered,Possitive
guttan tum hopayga serial aired yesterday zee clearly violates model code conduct promoting ujwala yojna modi govt,Possitive
kanyakumari kashmir way river bridge pradesh modi,Negative
dont worry fake account runs chor chowkidar modi,Negative
since see many people questioning modi announce indirectly saying claimed credit untrue never even used bjp guysthe minister responsible department space none narendra modi,Possitive
typical congressi piddi modi never took credit taking,Negative
time increased value per vote going work time modi dhamaka,Negative
say chor modi sorry chowki modi,Negative
gandhi pls raise question millions railway aspirant uneligible fir filling application ntpc jobbecause completedplz put pressure modi govt consider application appearing students,Negative
astrology behind early elections delay cabinet formation modi attacks telagana kcr,Possitive
completed india elite space power modi awesome achievement,Possitive
see talking pilot project like modi yrs modi acted big brother maduro venezuela rahul dreaming uncle maduro mumbai congress,Negative
comparing doesnt even aukat stand modi,Negative
department space department overviewminister responsiblenarendra modi prime minister india announcing behalf ministry,Negative
modi made houses poor,Negative
actually great divide media feel threatened due popularity modi objectively assess bias blatantly obvious betrays former,Possitive
time indians glued screens india pak match modis announcement hidden agenda,Negative
mananiya modi dream part team aim view applied nomination silchar lok sabha constituency assam time though name till end lastly get nomination bjp jindabad,Negative
stopped congress govt nuke tests bjp govt put sanctions soniamms decade stopped india acting pakistan endorses modi govt conducts surgical strikes test gets credit nehru,Possitive
video modi claims become space superpower india tested antisatellite weapon,Negative
thick skin cant explain ddca scandal guts explain rafael mallaya lalit nirav modi named ydrappa dairy crooks ministty chor hai chowkidar chor hai,Negative
polarised people like dub modi backers bhakts made life mission oppose move modi govt make,Negative
stupidity guy chartswhat appalling people changed narrative modi antiindiaif someone voting termed antiindians moron,Negative
election commission allowing modi photo advertising things election time done guindy railway station chennai,Negative
modis reckless decisions halted economy congress,Negative
india country world phd holders apply peon jobs mbas engineers apply sweeper jobs lakh pgs engineers apply helper jobs years destroyed future indias educated youth,Negative
modi could even work properly army men seems even army men also suppressed modi national security bad condition modi,Negative
polluted rivers doesnt affect water quality modi supposed magician one swish first time since independence growth forest cover noted native area see previously barren hills growing forests,Negative
unity movement shri narendra modi ekta sandesh via completed times today video another level patriotism,Negative
congenial liers hardly need time preparations identify single department govt lie disinformation campaign stand pakistan embarrassed entire nation general military particular,Possitive
challenge rahul cannot put factory simply capacity vision freebies promise treasury full due good governance modi,Possitive
modi govts vision corruptionfree india ensuring looted country facing law via namo app,Negative
sorry madam watch modi shapath grahan samaroh day able come,Negative
sure pak survive modi come power stay years game changer,Possitive
proud day india realisation fight poverty globalbut wait anti modi bhakt brigade idiots uneducated label anti nationalafter nobel prize cow dung urine recipieswhere steak,Possitive
indians india missile hit satellites space says narendra modi declares grand success,Possitive
vote important things done april sun son day sunrise andhra pradesh sonset corruption sunrise sonset modi kurnool,Possitive
exactly make break india worried paying attention narendra modi returns power whatever seen far look like benign trial run remotely benign,Possitive
launch new compaign mai bhi sainik answer modis campaign maibhi chaukidaar,Possitive
fight varanasi create panic among bjp cadres across doesnt matter wins lose moreover may also lead modi campaign varanasi,Possitive
modi film needs banned sarcasm,Negative
chairman stooges modi seems suddenly become meaningless body teeth joker called vice chairman event management company niti ayog done nothing organise attend events years credentials,Negative
chairs full modi reached chairs called,Negative
modi rolls red carpet corrupt chandrababu naidu,Negative
modi give money richest people india congress give poorest rahul gandhi announces scheme,Negative
registration link citizen initiative request modi supporters participate run saturday morning bfst water provided tshirts participatory certificates diatributed citizens invited,Possitive
modi psychopath remember,Negative
see hopeful tive namo comes,Negative
probjp pages lure voters freebies vote bjp spent lakh week political ads pages offer attractive prizes goodies form namo merchandise anyone pledging vote modi read,Possitive
expenditure arounds crores even interest crores even crores per mon wont fetch half amount also add expenses like maintenence salary employess etc drain state modi score points nehru family,Negative
wow imagine modi cud made fun like modi must indian history whose popularity charisma highest imaginable shortest possible time faced severe criticism,Possitive
problem people india bharat standing modi modi certainly bharat certainly saviour bharat,Possitive
copy paste guts ask modi jobs,Negative
day far modi become muslims india decide stat,Negative
uncle modi gave fake promises niti ayog chariman modi ayog chairman,Negative
india takes giant leap space shoots satellite says modi via namo app,Negative
rssbjp pmmodi govt didnt defend well scst prevention atrocities act supremecourtintentionally weakened argumentsresultantly delivered judgment based weak arguements rssbjppm modi govt rssbjp pmmodi govt adapted tactics quota scst,Negative
congratulate scientists mission shakti thanks modi mission ahead,Possitive
super power india thanks modi,Possitive
akhilesh yadav good leader honestly support congress debate rahul isnt good leader country suggest akhilesh join bjp contribution development country modi brokers support congress cong partya com,Possitive
exporting halfhearted politicians nomination failed strategy wont work never people seen ground last years rampur connectno modi wave end sacrificing azam khan,Negative
modi cheated cbn allocate even penny budget special package stunned modi backstabbing cbn attack back modi modi asked jagan take advantage situation asked promote word uturn,Possitive
modi cbied moment hell breaks loose three door step change,Negative
team modi done great work clean ganga yamuna prevented filth joining stream always important get rid stinking filth rivers mind party build nation society,Possitive
proud moment india grand salute scientists govt modi hai mumkin hai jai hind bharat mata jay,Possitive
questioning feasibility minimum income guarantee scheme may please note narendra modi could afford demonetization gdp drama well afford scheme poorest poor,Negative
congratulation isro scientist congratulation modi,Negative
pulmava sakthi mission election campaign modi people india accept things modi back home soon election,Negative
chidambaram agreeing appreciating modi ndas performance,Negative
nirav modi threatened kill witness destroy evidence london court told,Negative
knows election commissioner appointed request get approval chori modi instead asking,Negative
modi modi onces agin modi life time indias modi,Negative
irony didnt say done said achieved thishe said staffs proud moment instead proud india focussed demeaning,Possitive
need great future modi shld choice aur agar aap baba adam zamane mein rehna chahte hain rahul jisko betkar free mein khana milega kyon kaam karega slogan spokesperson come clarify,Possitive
lok sabha elections live kashmiri pandits faced trouble pdp says jammu,Possitive
gonna lick modi ass wins kind creature,Possitive
congi give credit nehru,Negative
rahul priyanka remnant soul symbol political liarsesp pertaining modi govt one liar present nehru cud defamed chor scamaster fraud traitor abuser women childrenunable win single election,Possitive
yes modi supporters media opposition claims one incident scary congress aane phir batayenge tum logo placard activist threatened modi sticker car,Negative
good luck modi bjp,Possitive
surgical strike airstrike anti satellite missile gives credit departments raid blame modi suits,Negative
yrs rule congress still niyay soo wat niyay yrs rule made fool ppl aware ready give chance modi,Possitive
aap targets modi sabootsapoot speech trademark style,Negative
possible far modi otherwise everything impossible dangerous risking,Negative
sayscongress cannot see ppl remaining poor st century whos responsible sudden soft corner poor said project directly benefit poor kese modi jam bjp strongly counter arithmetics,Possitive
bjp general secretary announced wednesday narendra modi kick electoral campaign thursday would visit state jammu kashmir first day,Possitive
one recently said people vote modi anti national put gen hooda congress supporters jawans support modi anti national great things hear,Possitive
hurry one modi announced without checking know one takes inc seriously,Negative
firmly believe shri modi agree accept challenge decide date place suddenly without giving time preparation lets surely final strike congress,Possitive
modi people,Negative
modi never good slogan,Possitive
hahahaha politicians raided fuck add vokkaliga prefix dont worry hindu first vokkaliga next vote modi,Possitive
short stream come say hey,Negative
modi campaignyesindia backs sapoot,Negative
tolerated whole india years tolerated poor tolerated religions supported one even tolerated party members tolerated nation questioned indian army talking tolerance,Negative
narendra modi got answer question nehru india prime minister narendra modi give credit former prime minister pandit nehru achievement long process thank thank chacha nehru,Negative
many congee spokies jurnos liberals invoking dead nehru mission shakti success instead giving credit isrodrdo scientists tone accusing modi taking credit modi india bootlicking spookie like,Possitive
nitin gadkari best minister modi government,Possitive
new thing niti aayog members new constitutional bjp spokesperson vicechairman rajib saraswat better economic members planning comm rather party media hub niti aayog,Possitive
know cant trust media india even modi also terrorist stupid people believe,Negative
even one person vouch modi said would pay lakh proof bring pay crore,Negative
two weeks india starts voting modi predicts easy victory prime minister narendra,Possitive
per voter itna atirict boz hai bharat uper varsh main throughts modi,Possitive
niti aayog advisory body statutory authority modi asked useless body directly interfere statutory institutions india cso nsc nsso even labour ministry survey emboldened rogues niti aayog like gorakshaks,Negative
modi done poor giving fake promises,Negative
wait modi clean sweep,Possitive
india super power space congratulations scientists modi indians,Possitive
full freedom support given modi government,Negative
comes elections people vote based caste religion enemies development modi knows people pulse rahul doesnt difference,Negative
modi says done simply give information nation achived opposition says timing correct,Negative
namaskar modi jee watched uer interaction arnab awsme loved uer attitude wen one honest towards commitments fearless congratulations wot dont chane ever jai hind,Possitive
goa manohar parrikars son hints joining politics says honour life continuing legacy india news,Negative
people tell modi cow politics check space budget india upa nda total budget,Negative
bsf jawan modi varanasi yadav said wanted contest polls eliminate corruption forces raised issue corruption sacked first objective strengthen eliminate corruption forces,Negative
know one minister narendra modi government said growing jobs well one possibility growing,Negative
know single fight better mahagatbhandan like,Possitive
noone bought ticket chanting modi modi,Negative
hey kind governance promising different modi rule,Possitive
narendra modi government already giving lakh crore poors every year big question remains whether terminate existing schemes,Negative
made think modi scam,Negative
mimicking modi,Negative
india developed capabilities target destroy satellites upa govt modis desperation public approval prior elections becoming even apparent tries steal credit,Possitive
every think modi unifies india defy chowkidaar campaign unified everyone put everyone chaukidaar chor hai twitter facebook,Negative
modi says india entered name elite space power antisatellite weapon asat successfully targeted live satellite low earth orbit srailinsonugeliyor neden bu fke,Possitive
modi contest varanasi last time toh wrong number hain,Negative
congress cannot comeback viable alternative unless gets someone doer image like modi supports things like national citizen register breaks impression treats muslim conservatism lightly kicks old gaurd corrupt sycophants wins hindu vote,Possitive
india isnt privileged savarnas empathy left still support vote modi equivalent genocide minorities,Negative
think reason responding pak incursion intervention mbs rashid maktoum guess would offered pilot immediately pak modi escalate,Negative
modi led gem political tribe abuse nehru indira gandhi great grandfather grandmother without hurting feelings,Possitive
massive losses punjab raj jharkhand cannot compensated unfortunately staring khichdi sarkar modi helm,Negative
gr must stop making films mark protest modi bewarsi gang,Negative
think get english dear child please correct whatever written retweet take english dictionary help,Negative
fact bhakt everyone modi congress supporter whereas people want country benefit good hands anyone better job modi even mms wasnt politician exceedingly well,Possitive
hated modi much endedup affair pakistan,Negative
wow congratulations india successful mission shakti made inda space weapon strong political,Possitive
hell,Negative
watched interview ditto every issue must done lot home work opposition learn want opposition strong well,Possitive
modi got excited philip kotler thingy,Possitive
one better modi let become modi disaster,Possitive
ask thieves gone mallya modi etc,Negative
protectors valley nirav modi honest businessman,Possitive
new delhi bjp president wednesday thanked prime minister narendra modi indias successful demonstration antisatellite missile capability saying decisive leadership leads stronger nation read,Possitive
big modi hater concerned big achievement concerned announcement never problem indira gandhi addressed nation winning war election time,Possitive
whole india except bhakts bjp fed modi chowkidar hatao lao,Negative
takes grim view modis photo rail tickets air india boarding pass,Negative
